,Name,Company,Praise Level,Comment Number,Language,Price,Issue time,System Require,Game Tags
1103,MONMUSU,Tentacle Games,Mostly Positive,"2,391","Sexual Content, Nudity, Free to Play, Anime, Casual, Indie, Clicker, Visual Novel, Mature",Free To Play,"12 May, 2018"," Microsoft Windows Vista,  1.8 GHz Pentium 4,  2 GB RAM,  1280 x 720,  Version 11,  3 GB available space","Sexual Content, Nudity, Free to Play, Anime, Casual, Indie, Clicker, Visual Novel, Mature"
1104,阿达三国志2019  竖版 Three Kingdoms 2019,阿达游戏,,No user reviews,"Free to Play, Strategy, Massively Multiplayer, Adventure, Casual, RPG, Action, Simulation",Free To Play,"30 Nov, 2018"," Windows xp or higher,  AMD A8-7600 Radeon R7 10 Compute Cores 4c+6g,  2 GB RAM,  Onboard GPU supported (matching above listed CPU), but dedicated GPU recommended. Screen resolution of 1280x720 or higher required,  Version 9.0,  1 GB available space","Free to Play, Strategy, Massively Multiplayer, Adventure, Casual, RPG, Action, Simulation"
1105,Wings of Vi,Grynsoft,Very Positive,No user reviews,"Difficult, Platformer, Female Protagonist, Indie, 2D, Action, Anime, Great Soundtrack, Adventure, Cute, Pixel Graphics, Metroidvania, Fantasy, Singleplayer, Retro, Masterpiece, Bullet Hell, Nudity",Try the demo!,"29 Nov, 2014"," Windows XP or later,  Pentium 4 or higher,  256 MB RAM,  256 MB or higher,  Version 9.0,  80 MB available space,  Any","Difficult, Platformer, Female Protagonist, Indie, 2D, Action, Anime, Great Soundtrack, Adventure, Cute, Pixel Graphics, Metroidvania, Fantasy, Singleplayer, Retro, Masterpiece, Bullet Hell, Nudity"
1106,不落城-Unconquered Castle,灰烬天国,Very Positive,No user reviews,"Casual, Indie, Visual Novel, Anime",灰烬天国 UnconqueredCastle,"12 Oct, 2018"," Windows Vista, 7, 8, 10,  Inter Core I3,  4 GB RAM,  GT6404,  9.0,  需要 2 GB 可用空间","Casual, Indie, Visual Novel, Anime"
1107,Shadow Warrior,Flying Wild Hog,Very Positive,"11,636","Action, FPS, Swordplay, Gore, Comedy, First-Person, Hack and Slash, Adventure, Shooter, Singleplayer, Old School, Great Soundtrack, Ninja, Dark Humor, Demons, Funny, Remake, Atmospheric, Classic, 3D Vision", 112,"27 Sep, 2013"," Windows XP / Vista / 7 / 8,  2.4 GHz Dual Core Processor or higher,  2 GB RAM,  ATI Radeon HD 3870/NVIDIA 8800 GT or better,  Version 9.0c,  15 GB available space,  An unabashed love of katanas is preferable.","Action, FPS, Swordplay, Gore, Comedy, First-Person, Hack and Slash, Adventure, Shooter, Singleplayer, Old School, Great Soundtrack, Ninja, Dark Humor, Demons, Funny, Remake, Atmospheric, Classic, 3D Vision"
1108,Delta Force: Black Hawk Down,NovaLogic,Very Positive,No user reviews,"Action, FPS, Military, Multiplayer, Classic, War", 48,"24 Mar, 2003"," Windows 2000, XP & Vista, \t\t\t\t\t,  Pentium III 733MHz or better, \t\t\t\t\t,  256MB minimum, \t\t\t\t\t,  Direct3D with 32MB or better, \t\t\t\t\t,  DirectX version 8.1 or higher (included), \t\t\t\t\t,  860MB Free, \t\t\t\t\t,  DirectX-compliant, \t\t\t\t\t","Action, FPS, Military, Multiplayer, Classic, War"
1109,Valkyria Chronicles™,SEGA,Very Positive,"7,708","Anime, Strategy, Turn-Based, RPG, Story Rich, JRPG, Tactical, Singleplayer, Great Soundtrack, Strategy RPG, Tactical RPG, Third Person, Tanks, War, Action, Turn-Based Strategy, World War II, Romance, Classic, Female Protagonist", 68,"11 Nov, 2014"," Windows Vista/Windows 7,  Intel Core2 Duo @ 2.0GHz (or equivalent),  2 GB RAM,  NVIDIA GeForce GTS 240 (or equivalent),  25 GB available space","Anime, Strategy, Turn-Based, RPG, Story Rich, JRPG, Tactical, Singleplayer, Great Soundtrack, Strategy RPG, Tactical RPG, Third Person, Tanks, War, Action, Turn-Based Strategy, World War II, Romance, Classic, Female Protagonist"
1110,Fortune Summoners,Lizsoft,Very Positive,No user reviews,"Anime, RPG, Indie, Action, Female Protagonist, JRPG, Side Scroller, Platformer, 2D, Cute, Metroidvania, Difficult, Action RPG, Great Soundtrack, Singleplayer", 68,"31 Jan, 2012","Windows XP/Vista/7, \t\t\t\t\t\t\t\t\t\t\t\t\t, Pentium III 1.0GHz, \t\t\t\t\t\t\t\t\t\t\t\t\t, 384 MB RAM, \t\t\t\t\t\t\t\t\t\t\t\t\t, DirectX 8 or higher compatible video card, \t\t\t\t\t\t\t\t\t\t\t\t\t, dx80, \t\t\t\t\t\t\t\t\t\t\t\t\t, 250 MB HD space, \t\t\t\t\t\t\t\t\t\t\t\t\t, DirectX 8-compatible sound device, \t\t\t\t\t\t\t\t\t\t\t\t","Anime, RPG, Indie, Action, Female Protagonist, JRPG, Side Scroller, Platformer, 2D, Cute, Metroidvania, Difficult, Action RPG, Great Soundtrack, Singleplayer"
1111,Commandos: Behind Enemy Lines,Pyro Studios,Very Positive,"1,502","Strategy, Stealth, Action, World War II, Tactical, RTS, Classic, Difficult, Isometric, Military, Real Time Tactics, Co-op, ""1990s"", Singleplayer", 21,"28 Aug, 1998",,"Strategy, Stealth, Action, World War II, Tactical, RTS, Classic, Difficult, Isometric, Military, Real Time Tactics, Co-op, ""1990s"", Singleplayer"
1112,真实幻象 / Behind The Truth,橙光游戏,Positive,No user reviews,"Action, Casual, Visual Novel, RPG, Indie, Anime",,"14 Feb, 2018"," windowsXP,Vista,7,8,10,  1Ghz or faster processor,  512MB VRAM,  1 GB available space","Action, Casual, Visual Novel, RPG, Indie, Anime"
1113,Commandos: Beyond the Call of Duty,Pyro Studios,Very Positive,No user reviews,"Action, Strategy, Tactical, World War II, Stealth, RTS, Military, Classic, ""1990s"", Difficult", 21,"7 Apr, 1999",,"Action, Strategy, Tactical, World War II, Stealth, RTS, Military, Classic, ""1990s"", Difficult"
1114,Skautfold: Usurper,Steve Gal,Mostly Positive,No user reviews,"Action, Indie, RPG, Metroidvania, Lovecraftian, 2D, Psychological Horror, Platformer, Pixel Graphics", 15,"21 Feb, 2018"," Windows XP Service pack 3,  1.2 ghz,  2 GB RAM,  512MB RAM on Desktop, 1GB on certain Laptops.,  Version 10,  2 GB available space,  The game produces unreliable performance on Laptops due to integrated video chips, a home computer is recommended. Widescreen capable monitor required.","Action, Indie, RPG, Metroidvania, Lovecraftian, 2D, Psychological Horror, Platformer, Pixel Graphics"
1115,Business Magnate,Ambiera,,85,"Simulation, Strategy, Management, Economy, Resource Management, Sandbox, Singleplayer, Indie, Building, Casual, Real-Time with Pause, Isometric, Point &amp; Click", 43,"1 Mar, 2019"," Windows 7,  2 GHz dual core,  1 GB RAM,  Hardware accelerated graphics with dedicated memory,  120 MB available space,  minimum resolution of 800x600","Simulation, Strategy, Management, Economy, Resource Management, Sandbox, Singleplayer, Indie, Building, Casual, Real-Time with Pause, Isometric, Point &amp; Click"
1116,Resident Evil / biohazard HD REMASTER,"CAPCOM Co., Ltd.",Very Positive,"5,057","Survival Horror, Zombies, Horror, Classic, Remake, Atmospheric, Singleplayer, Puzzle, Survival, Action, Adventure, Third Person, Cult Classic, Female Protagonist, Story Rich, Difficult, Gore, Shooter, Great Soundtrack, Third-Person Shooter", 127,"20 Jan, 2015"," Windows® 7 SP1 / Windows® 8.1,  Intel® Core™ 2 Duo 2.4 GHz, AMD Athlon™ X2 2.8 GHz, or better,  2 GB RAM,  NVIDIA® GeForce® GTX260, ATI Radeon HD 6790, or better,  1024×768 or higher,  Version 9.0c,  Broadband Internet connection,  20 GB available space,  DirectSound compatible (must support DirectX 9.0c or higher),  ,  Supports Keyboard +Mouse.  Genuine Xbox 360 PC compatible controller or comparable XInput-based gamepad recommended.","Survival Horror, Zombies, Horror, Classic, Remake, Atmospheric, Singleplayer, Puzzle, Survival, Action, Adventure, Third Person, Cult Classic, Female Protagonist, Story Rich, Difficult, Gore, Shooter, Great Soundtrack, Third-Person Shooter"
1117,Mount Your Friends,Stegersaurus Software Inc.,Very Positive,"4,469","Comedy, Funny, Sports, Multiplayer, Physics, Indie, Local Multiplayer, Simulation, Competitive, Co-op, Local Co-Op, Sexual Content, 2D, Casual, Mature, 4 Player Local, Psychological Horror, Singleplayer, Online Co-Op, Action", 21,"30 Jul, 2014"," Windows XP or Later,  2.4 GHz or better,  2 GB RAM,  Graphics card capable of Pixel and Vertex Shader 3.0 (game uses XNA 4.0 in Hi-Def mode),  Version 10,  200 MB available space,  Currently requires Windows Media Player to be installed on your system. Game supports Microsoft XBox 360 Controllers or Keyboard/Mouse control","Comedy, Funny, Sports, Multiplayer, Physics, Indie, Local Multiplayer, Simulation, Competitive, Co-op, Local Co-Op, Sexual Content, 2D, Casual, Mature, 4 Player Local, Psychological Horror, Singleplayer, Online Co-Op, Action"
1118,Dungeon Warfare 2,Valsar,Very Positive,No user reviews,"Indie, Strategy, Tower Defense, Pixel Graphics, 2D", 50,"6 Jul, 2018"," Windows 7,  Core 2 Duo,  2 GB RAM,  Graphic Card with at least 256MB of VRAM,  Version 9.0,  100 MB available space","Indie, Strategy, Tower Defense, Pixel Graphics, 2D"
1119,"""Sid Meiers Civilization®: Beyond Earth™""",Firaxis Games,,"10,475","Strategy, Turn-Based Strategy, Sci-fi, Space, 4X, Turn-Based, Multiplayer, Singleplayer, Futuristic, Aliens, Tactical, Hex Grid, Grand Strategy, Replay Value, Exploration, Atmospheric, Adventure, Moddable, Simulation, Action", 127,"24 Oct, 2014"," Windows® Vista SP2/ Windows® 7,  Intel Core 2 Duo 1.8 GHz or AMD Athlon X2 64 2.0 GHz,  2 GB RAM,  256 MB ATI HD3650 or better, 256 MB nVidia 8800 GT or better, or Intel HD 3000 or better integrated graphics,  Version 11,  8 GB available space,  DirectX 9.0c‐compatible sound card,  Other Requirements: Initial installation requires one-time Internet connection for Steam authentication; software installations required (included with the game) include Steam Client, Microsoft Visual C++2012 Runtime Libraries and Microsoft DirectX.","Strategy, Turn-Based Strategy, Sci-fi, Space, 4X, Turn-Based, Multiplayer, Singleplayer, Futuristic, Aliens, Tactical, Hex Grid, Grand Strategy, Replay Value, Exploration, Atmospheric, Adventure, Moddable, Simulation, Action"
1120,Robocraft,Freejam,Mostly Positive,"111,346","Free to Play, Robots, Building, Multiplayer, Action, Shooter, PvP, Massively Multiplayer, Sandbox, Crafting, Third-Person Shooter, Sci-fi, Strategy, Simulation, Early Access, Indie, Open World, Funny, Adventure, RPG",Free to Play,"24 Aug, 2017"," Vista/7/8/8.1/10,  Intel Dual Core or better with SSE2 support or equivalent AMD family,  4 GB RAM,  Shader Model 3.0 Compatible GPU, DirectX 9.0c,  Version 10,  Broadband Internet connection,  2 GB available space,  DirectX compatible,  Min Resolution 1024x768","Free to Play, Robots, Building, Multiplayer, Action, Shooter, PvP, Massively Multiplayer, Sandbox, Crafting, Third-Person Shooter, Sci-fi, Strategy, Simulation, Early Access, Indie, Open World, Funny, Adventure, RPG"
1121,Escape Doodland,flukyMachine,Positive,No user reviews,"Indie, Action, Adventure, 2D, Platformer, Funny, Cute, Side Scroller, Fast-Paced, Difficult, Great Soundtrack, Competitive, Arcade, Psychedelic, Casual, Hand-drawn, Multiplayer, Runner, Colorful",,"30 Nov, 2018"," Windows Vista/7/8/10,  Core 2 Duo 2.4 GHz,  2048 MB RAM,  GeForce 8600GT,  800 MB available space","Indie, Action, Adventure, 2D, Platformer, Funny, Cute, Side Scroller, Fast-Paced, Difficult, Great Soundtrack, Competitive, Arcade, Psychedelic, Casual, Hand-drawn, Multiplayer, Runner, Colorful"
1122,Path to Mnemosyne,DevilishGames,Positive,No user reviews,"Adventure, Indie, Puzzle, Female Protagonist, Horror, Surreal, Singleplayer, Psychological, Atmospheric, Relaxing, Beautiful, Psychological Horror, Psychedelic, Minigames, Mythology, Visual Novel, Hand-drawn, Story Rich, Hidden Object, Dark Fantasy",,"26 Sep, 2018"," Windows 7,  Core 2 Duo,  2 GB RAM,  256MB Graphics,  버전 9.0c,  1 GB 사용 가능 공간","Adventure, Indie, Puzzle, Female Protagonist, Horror, Surreal, Singleplayer, Psychological, Atmospheric, Relaxing, Beautiful, Psychological Horror, Psychedelic, Minigames, Mythology, Visual Novel, Hand-drawn, Story Rich, Hidden Object, Dark Fantasy"
1123,Sakura Dungeon,Winged Cloud,Very Positive,792,"Nudity, Mature, Sexual Content, Anime, RPG, Dungeon Crawler, Female Protagonist, Visual Novel, Adventure, JRPG, Singleplayer, Cute, Indie, Memes, Dating Sim, Turn-Based, Story Rich, Casual, Illuminati, FPS", 68,"4 Jun, 2016"," Win XP+,  1.2 GHz Pentium 4,  1 GB RAM,  1280 x 720,  Version 9.0c,  1 GB available space","Nudity, Mature, Sexual Content, Anime, RPG, Dungeon Crawler, Female Protagonist, Visual Novel, Adventure, JRPG, Singleplayer, Cute, Indie, Memes, Dating Sim, Turn-Based, Story Rich, Casual, Illuminati, FPS"
1124,The Dark Occult,RYM GAMES,,344,"Violent, Horror, Gore, Action, Indie, Adventure, Psychological Horror, First-Person, Singleplayer", 65,"25 Sep, 2018","Requires a 64-bit processor and operating system,  Windows 7, 64-Bits,  Intel Core i3-530,  6 GB RAM,  NVIDIA GeForce GTX 760 2 Go or AMD Radeon™ R7 260x with 2GB Video RAM,  Version 11,  10 GB available space,  DirectX Compatible,  Supported Gamepads: Microsoft Xbox 360 Games for Windows (Wired), Targeting  1080p @ 30 fps","Violent, Horror, Gore, Action, Indie, Adventure, Psychological Horror, First-Person, Singleplayer"
1125,Project Highrise,SomaSim,Very Positive,"1,663","Simulation, Management, Strategy, Building, Singleplayer, 2D, Sandbox, Indie, Casual, Economy", 68,"8 Sep, 2016"," Windows 7 or later,  Core i5,  2 GB RAM,  Integrated video (Intel HD 4000 or later), 1 GB shared memory,  500 MB available space,  Display: 1280 x 720","Simulation, Management, Strategy, Building, Singleplayer, 2D, Sandbox, Indie, Casual, Economy"
1126,Party Hard 2,Pinokl Games,Very Positive,519,"Indie, Action, Violent, Pixel Graphics, Simulation, Strategy, Stealth, Adventure, Singleplayer, Great Soundtrack, Psychedelic, Top-Down, Difficult, Funny, Tactical, Music, Multiplayer, Gore, Villain Protagonist, Co-op", 70,"25 Oct, 2018"," Windows XP/7/8/10,  Intel Core i3,  4096 MB RAM,  NVIDIA GeForce GT 920M,  Version 11,  6 GB available space","Indie, Action, Violent, Pixel Graphics, Simulation, Strategy, Stealth, Adventure, Singleplayer, Great Soundtrack, Psychedelic, Top-Down, Difficult, Funny, Tactical, Music, Multiplayer, Gore, Villain Protagonist, Co-op"
1127,Border Officer,Cocopo,,No user reviews,"Early Access, Simulation, Early Access, Action, Indie, Adventure, Political", 37,"17 Apr, 2019"," Windows 7,  2 GHz Dual Core CPU,  2 GB RAM,  Intel HD Graphics 4000 or better,  3 GB available space","Early Access, Simulation, Early Access, Action, Indie, Adventure, Political"
1128,Agony,Madmind Studio,,No user reviews,"Horror, Nudity, Sexual Content, Gore, Demons, First-Person, Survival Horror, Violent, Action, Adventure, Psychological Horror, Psychedelic, Dark, Atmospheric, Singleplayer, Indie, Survival, Walking Simulator, Story Rich, Stealth", 50,"29 May, 2018","Requires a 64-bit processor and operating system,  Windows 7 / 8 / 10,  Intel Core i3 3.2 GHz, AMD Phenom II X4 955 - 4 Core, 3.2 GHz,  8 GB RAM,  Radeon R9 280 or Nvidia GeForce GTX 660,  Version 11,  17 GB available space,  DirectX compatible,  System requirements may change during the development of the game.","Horror, Nudity, Sexual Content, Gore, Demons, First-Person, Survival Horror, Violent, Action, Adventure, Psychological Horror, Psychedelic, Dark, Atmospheric, Singleplayer, Indie, Survival, Walking Simulator, Story Rich, Stealth"
1129,Bulletstorm: Full Clip Edition,People Can Fly,Very Positive,"1,382","Action, Gore, Violent, Adventure, FPS, Comedy, Singleplayer, Sci-fi, Shooter, First-Person, Atmospheric, Multiplayer, Co-op, Funny, Nudity, Great Soundtrack, Online Co-Op, Open World, Survival, Story Rich", 116,"8 Apr, 2017","Requires a 64-bit processor and operating system,  Windows 7/8/8.1/10 x64,  AMD A8-3850,  6 GB RAM,  Radeon HD 6850,  Version 11,  Broadband Internet connection,  15 GB available space,  DirectX Compatible","Action, Gore, Violent, Adventure, FPS, Comedy, Singleplayer, Sci-fi, Shooter, First-Person, Atmospheric, Multiplayer, Co-op, Funny, Nudity, Great Soundtrack, Online Co-Op, Open World, Survival, Story Rich"
1130,Hentai Mosaique Vip Room,Lil Hentai Games,Very Positive,No user reviews,"Sexual Content, Casual, Nudity, Indie, Action, Simulation, Anime, NSFW, RPG, Clicker", 11,"10 Apr, 2019"," Windows 7,  4 GB RAM,  Version 10,  500 MB available space","Sexual Content, Casual, Nudity, Indie, Action, Simulation, Anime, NSFW, RPG, Clicker"
1131,VRC PRO,Virtual Racing Industries Ltd.,Mostly Positive,No user reviews,"Racing, Simulation, Sports, Indie, Action, Casual, Multiplayer", 122,"25 Mar, 2015"," Windows XP SP 3, .Net framework 3.5,  Hyperthreaded Intel CPU, AMD Athlon 64 CPU,  1 GB RAM,  256 MB Pixel Shader 2.0 graphics card (nVidia GeForce FX 5600 or ATI Radeon X600),  Version 9.0c,  2 GB available space,  Soundblaster compatible soundcard","Racing, Simulation, Sports, Indie, Action, Casual, Multiplayer"
1132,The Stanley Parable,Galactic Cafe,Very Positive,"30,057","Comedy, Narration, Indie, First-Person, Walking Simulator, Funny, Psychological, Satire, Dynamic Narration, Adventure, Exploration, Singleplayer, Multiple Endings, Choices Matter, Short, Story Rich, Atmospheric, Surreal, Puzzle, Casual", 48,"17 Oct, 2013"," Windows XP/Vista/7/8,  3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher),  2 GB RAM,  Video card must be 128 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher - *NOT* an Express graphics card).,  3 GB available space,  DirectX 9.0c compatible","Comedy, Narration, Indie, First-Person, Walking Simulator, Funny, Psychological, Satire, Dynamic Narration, Adventure, Exploration, Singleplayer, Multiple Endings, Choices Matter, Short, Story Rich, Atmospheric, Surreal, Puzzle, Casual"
1133,Mountain,David OReilly,Very Positive,"10,051","Simulation, Indie, Casual, Relaxing, Singleplayer, Great Soundtrack, God Game, Masterpiece, Experimental, Beautiful, Procedural Generation, Space, Realistic, Illuminati, Music, VR, Difficult, Third Person, Funny, First-Person", 8,"1 Jul, 2014"," Windows XP/Vista/Windows 7/Windows 8,  1.7+ GHz or better,  2 GB RAM,  Radeon HD5450 or better; 256 MB or higher,  Version 9.0c,  200 MB available space,  100% DirectX9.0c compatible sound card and drivers","Simulation, Indie, Casual, Relaxing, Singleplayer, Great Soundtrack, God Game, Masterpiece, Experimental, Beautiful, Procedural Generation, Space, Realistic, Illuminati, Music, VR, Difficult, Third Person, Funny, First-Person"
1134,FEZ,Polytron Corporation,Very Positive,"7,791","Platformer, Indie, Puzzle, Exploration, Pixel Graphics, Great Soundtrack, Singleplayer, Adventure, Casual, Mystery, Puzzle-Platformer, 2D, Relaxing, Beautiful, Atmospheric, Cute, Retro, 2.5D, Controller, Metroidvania", 36,"2 May, 2013","""Windows XP SP3 (for Version 1.11, accessible through the Betas tab)"", \t, Intel Core 2 Duo 2.8Ghz or equivalent, \t, 2 GB RAM, \t, 2nd Generation Intel Core HD Graphics (2000/3000), or dedicated GPU with OpenGL 3.0 Support, \t, 500 MB HD space, \t, OpenAL-compatible, \t, See ,  for details on Intel HD Graphics support, not all models are supported. Latest graphics drivers are required to maximize OpenGL feature compatibility.","Platformer, Indie, Puzzle, Exploration, Pixel Graphics, Great Soundtrack, Singleplayer, Adventure, Casual, Mystery, Puzzle-Platformer, 2D, Relaxing, Beautiful, Atmospheric, Cute, Retro, 2.5D, Controller, Metroidvania"
1135,War for the Overworld,Brightrock Games,Very Positive,"3,710","Strategy, RTS, God Game, Indie, Fantasy, Simulation, Sandbox, Base Building, Kickstarter, Management, Villain Protagonist, Dungeon Crawler, Funny, Singleplayer, Multiplayer, Dark Comedy, Building, Comedy, Level Editor, Early Access", 88,"3 Apr, 2015"," Windows 7 Service Pack 1 , Windows 8 , Windows 10, \t,  Dual Core CPU @ 2.5GHz, \t,  4GB RAM, \t,  Nvidia GT450 512MB or better, ATI 4870HD 512MB or better, \t, : 1500, \t,  7GB available space, \t,  Speakers or headphones","Strategy, RTS, God Game, Indie, Fantasy, Simulation, Sandbox, Base Building, Kickstarter, Management, Villain Protagonist, Dungeon Crawler, Funny, Singleplayer, Multiplayer, Dark Comedy, Building, Comedy, Level Editor, Early Access"
1136,Deponia: The Complete Journey,Daedalic Entertainment,Very Positive,"1,867","Adventure, Point &amp; Click, Comedy, Puzzle, Singleplayer, Funny, Steampunk, 2D, Sci-fi, Indie, Story Rich, Great Soundtrack, Atmospheric, Romance, Dark Humor, Sexual Content",,"8 Jul, 2014"," Windows Vista/7/8,  2.5 GHz Single Core Processor or 2 GHz Dual Core Processor,  2 GB RAM,  OpenGL 2.0 compatible with 256 MB RAM (Shared Memory is not recommended),  Version 9.0c,  8 GB available space,  Mouse","Adventure, Point &amp; Click, Comedy, Puzzle, Singleplayer, Funny, Steampunk, 2D, Sci-fi, Indie, Story Rich, Great Soundtrack, Atmospheric, Romance, Dark Humor, Sexual Content"
1137,"""Lisas Memory - 丽莎的记忆""",AliveGameStudio,Very Positive,No user reviews,"Early Access, Early Access, Indie, RPG, Adventure", 32,"2 Jan, 2019"," Windows 7 or later,  Dual Core CPU, 2 GHz,  1 GB RAM,  512 MB Video Memory,  500 MB available space","Early Access, Early Access, Indie, RPG, Adventure"
1138,CLANNAD,VisualArts/Key,Overwhelmingly Positive,"1,714","Visual Novel, Anime, Story Rich, Romance, Drama, Great Soundtrack, Singleplayer, Cute, Dating Sim, Classic, Choices Matter, Multiple Endings, Atmospheric, Casual, Adventure, Comedy, Family Friendly, Emotional, 2D, Sexual Content", 133,"24 Nov, 2015"," Windows Vista or higher,  1.2Ghz,  1 GB RAM,  640x480,  Version 9.0c,  7 GB available space,  DirectSound-compatible sound card","Visual Novel, Anime, Story Rich, Romance, Drama, Great Soundtrack, Singleplayer, Cute, Dating Sim, Classic, Choices Matter, Multiple Endings, Atmospheric, Casual, Adventure, Comedy, Family Friendly, Emotional, 2D, Sexual Content"
1139,The Cursed Forest,KPy3O,Very Positive,284,"Horror, Adventure, Indie, Atmospheric, Exploration, First-Person, Walking Simulator, Early Access, Multiplayer", 30,"27 Feb, 2019","Requires a 64-bit processor and operating system,  Windows 7 SP1 64 bit, Windows 8.1 64 bit,  Intel Core i3 6100 / AMD FX 8350,  8 GB RAM,  GTX 660 2 Gb / Radeon 7850 2 Gb,  Version 11,  5 GB available space","Horror, Adventure, Indie, Atmospheric, Exploration, First-Person, Walking Simulator, Early Access, Multiplayer"
1140,Mushroom Wars 2,Zillion Whales,Mostly Positive,No user reviews,"Strategy, Action, Indie, RTS, Multiplayer, Tower Defense, Tactical, 2D, Replay Value, Atmospheric, Classic", 59,"7 Oct, 2017"," Windows 7 or later,  Dual core processor,  2 GB RAM,  Works fine on integrated laptop graphics like Intel HD 3000,  Version 9.0c,  2 GB available space,  This game runs fine on low end devices, tested with core2duo laptops w/ integrated videocards.","Strategy, Action, Indie, RTS, Multiplayer, Tower Defense, Tactical, 2D, Replay Value, Atmospheric, Classic"
1141,Holy Potatoes! We’re in Space?!,Daylight Studios,Mostly Positive,No user reviews,"Indie, Simulation, Adventure, Space, Turn-Based Combat, Strategy, Cute, Singleplayer, Great Soundtrack, Sci-fi, Story Rich, 2D, Survival, Atmospheric, Replay Value, RPG, Exploration, Funny, Management, Female Protagonist", 7,"15 Feb, 2017"," Windows 7 / 8 / 10,  Intel Pentium Dual Core 2.5GHz or AMD Athlon 64 X2 3GHz,  4 GB RAM,  ATI Radeon HD4000 series or nVidia GeForce 9000 series,  Version 9.0c,  3 GB available space,  DirectX 9.0c Compatible Sound Card with Latest Drivers","Indie, Simulation, Adventure, Space, Turn-Based Combat, Strategy, Cute, Singleplayer, Great Soundtrack, Sci-fi, Story Rich, 2D, Survival, Atmospheric, Replay Value, RPG, Exploration, Funny, Management, Female Protagonist"
1142,Dawn of Discovery™,Blue Byte,Very Positive,No user reviews,"Strategy, Simulation, City Builder, RTS, Medieval, Trading, Singleplayer", 42,"24 Jun, 2009"," Windows® XP (SP3), Windows Vista® (only), \t\t\t\t\t\t\t\t\t\t\t,  Pentium 4 3GHz or comparable (dual core recommended), \t\t\t\t\t\t\t\t\t\t\t,  1 GB (3 GB recommended), \t\t\t\t\t\t\t\t\t\t\t,  DirectX®9-compatible graphics adapter with 128 MB RAM (DirectX®10 with 512 MB recommended), \t\t\t\t\t\t\t\t\t\t\t,  DirectX®9/10, \t\t\t\t\t\t\t\t\t\t\t,  6 GB free space, \t\t\t\t\t\t\t\t\t\t\t,  DirectX®9-compatible, \t\t\t\t\t\t\t\t\t\t\t,  Windows-compliant mouse, keyboard, gamepad, headset, \t\t\t\t\t\t\t\t\t\t, ATI® Radeon® 9600–9800 / X300–850 / X1050–1950 / HD2400-2900 / HD3400–3870 / HD4300–4890, \t\t\t\t\t\t\t\t\t\t, NVIDIA GeForce® 6100–6800 / 7100–7950 / 8200–8800 / 9200–9800 / 120–140 / 250–295, \t\t\t\t\t\t\t\t\t\t, Laptop versions of these cards may work but are NOT supported. These chipsets are the only ones that will run this game. For the most up-to-date minimum requirement listings, please visit the FAQ for this game on our support website at: , ., \t\t\t\t\t\t\t\t\t\t","Strategy, Simulation, City Builder, RTS, Medieval, Trading, Singleplayer"
1143,Circle Empires,Luminous,Very Positive,829,"Indie, Strategy, Casual, RTS, Fantasy, Real-Time, Multiplayer", 32,"8 Aug, 2018"," Microsoft Windows 7 SP1, Windows 8, Windows 10,  1,7GHz dual core,  3 GB RAM,  Intel/AMD Integrated Graphics, 1GB VRAM,  Version 11,  1 GB available space,  System requirements may be subject to change.","Indie, Strategy, Casual, RTS, Fantasy, Real-Time, Multiplayer"
1144,Crisis in the Kremlin,Kremlingames,Very Positive,732,"Strategy, Simulation, Indie, Political, Cold War, Politics, Historical, Alternate History, Singleplayer, Great Soundtrack, Psychological Horror", 21,"20 Mar, 2017"," Windows XP SP2+ (64-bit), Windows 7 SP1+ (32-bit, 64-bit),  SSE2 instruction set support,  2 GB RAM,  DX9 (shader model 3.0) or DX11 with feature level 9.3 capabilities,  Version 9.0c,  2 GB available space","Strategy, Simulation, Indie, Political, Cold War, Politics, Historical, Alternate History, Singleplayer, Great Soundtrack, Psychological Horror"
1145,Gold Rush: The Game,Code Horizon,,"4,472","Simulation, Mining, Realistic, Open World, Singleplayer, Indie, Driving, Sandbox, Strategy, Economy, Exploration, First-Person, Funny, Adventure, Building, Difficult, Casual, Relaxing, Atmospheric, Management", 29,"13 Oct, 2017",""" Windows 7 (64-bit) or Newer. Doesnt support Mac OS."",  Intel Core i5,  8 GB RAM,  NVidia GeForce GTX 760,  Version 11,  17 GB available space,  DirectX compatible","Simulation, Mining, Realistic, Open World, Singleplayer, Indie, Driving, Sandbox, Strategy, Economy, Exploration, First-Person, Funny, Adventure, Building, Difficult, Casual, Relaxing, Atmospheric, Management"
